country,year,iso_code,population,gdp,co2,co2_per_capita,consumption_co2,consumption_co2_per_capita,cumulative_co2,share_global_co2,share_global_cumulative_co2,share_population,fair_share_ratio,trade_gap_pct,times_world_avg
Afghanistan,2023,AFG,41454762.0,,10.516,0.254,,,231.809,0.028,0.013,0.5123099353012384,0.02537526427699669,,0.05395072217502124
Albania,2023,ALB,2811660.0,,4.417,1.571,5.382,1.914,303.494,0.012,0.017,0.0347473072620482,0.48924654425143865,21.84740774281186,0.3336873406966865
Algeria,2023,DZA,46164222.0,,202.847,4.394,,,5278.365,0.532,0.292,0.5705108037057842,0.5118220340496586,,0.933305012744265
Andorra,2023,AND,80869.0,,0.418,5.17,,,16.23,0.001,0.001,0.0009994024849998135,1.0005978722378168,,1.0981308411214952
Angola,2023,AGO,36749909.0,,21.675,0.59,,,717.254,0.057,0.04,0.454166001534791,0.08807352348001733,,0.12531860662701783
Anguilla,2023,AIA,14435.0,,0.143,9.879,,,3.44,0.0,0.0,0.00017839190383178114,0.0,,2.0983432455395072
Antarctica,2023,ATA,,,0.0,,,,0.154,0.0,0.0,,,,
Antigua and Barbuda,2023,ATG,93331.0,,0.641,6.863,,,26.255,0.002,0.001,0.0011534114843452694,0.8669932747961557,,1.457731520815633
Argentina,2023,ARG,45538402.0,,178.407,3.918,185.666,4.077,8980.478,0.468,0.496,0.5627767391920325,0.8813441733787672,4.068786538644776,0.8322005097706032
Armenia,2023,ARM,2943398.0,,7.43,2.524,7.674,2.607,399.259,0.02,0.022,0.03637536355764855,0.6048049517122728,3.2839838492597666,0.536108751062022
Aruba,2023,ABW,107946.0,,0.887,8.213,,,74.848,0.002,0.004,0.0013340278802234462,2.998438083115632,,1.7444774851316904
Australia,2023,AUS,26451126.0,,384.316,14.529,372.151,14.069,19652.938,1.009,1.085,0.32689066336226713,3.3191526146391648,-3.1653639192747542,3.086023789294817
Austria,2023,AUT,9130434.0,,56.909,6.233,76.469,8.375,5693.295,0.149,0.314,0.11283654340633355,2.7827864140543594,34.37066193396474,1.3239167374681393
Azerbaijan,2023,AZE,10318209.0,,42.748,4.143,40.838,3.958,2597.308,0.112,0.143,0.1275154102974866,1.1214330853532815,-4.468045288668468,0.8799915038232794
Bahamas,2023,BHS,399452.0,,2.956,7.4,,,177.49,0.008,0.01,0.004936543316204547,2.0257089545176896,,1.5717926932880204
