country,year,iso_code,population,gdp,co2,co2_per_capita,consumption_co2,consumption_co2_per_capita,cumulative_co2,share_global_co2,share_global_cumulative_co2
High-income countries,1850,,329708861.0,,196.807,0.604,,,4769.785,99.979,99.999
High-income countries,1851,,332367865.0,,198.779,0.605,,,4968.563,100.0,99.999
High-income countries,1852,,335097023.0,,207.595,0.627,,,5176.159,100.0,99.999
High-income countries,1853,,337898102.0,,217.237,0.65,,,5393.396,100.0,99.999
High-income countries,1854,,340744466.0,,255.039,0.757,,,5648.434,100.0,99.999
High-income countries,1855,,343637452.0,,260.135,0.766,,,5908.57,99.952,99.997
High-income countries,1856,,346578420.0,,277.549,0.81,,,6186.119,99.75,99.986
High-income countries,1857,,349568812.0,,280.423,0.811,,,6466.542,99.73,99.975
High-income countries,1858,,352610141.0,,284.223,0.815,,,6750.765,99.536,99.956
High-income countries,1859,,355660483.0,,300.98,0.856,,,7051.744,99.474,99.935
High-income countries,1860,,358717629.0,,330.564,0.931,,,7382.308,99.478,99.915
High-income countries,1861,,361770287.0,,347.375,0.971,,,7729.684,99.48,99.895
High-income countries,1862,,364824359.0,,354.036,0.981,,,8083.72,99.451,99.876
High-income countries,1863,,367877215.0,,377.657,1.038,,,8461.377,99.505,99.859
High-income countries,1864,,370969278.0,,407.321,1.11,,,8868.697,99.462,99.841
High-income countries,1865,,374101282.0,,432.395,1.168,,,9301.093,99.435,99.822
High-income countries,1866,,377273978.0,,445.565,1.194,,,9746.657,99.22,99.794
High-income countries,1867,,380488136.0,,477.998,1.27,,,10224.655,99.414,99.776
High-income countries,1868,,383744569.0,,491.58,1.295,,,10716.234,99.411,99.759
High-income countries,1869,,387086345.0,,521.549,1.361,,,11237.784,99.394,99.742
High-income countries,1870,,390514736.0,,532.757,1.378,,,11770.541,99.372,99.726
High-income countries,1871,,393982298.0,,565.634,1.45,,,12336.175,99.273,99.705
High-income countries,1872,,397592919.0,,626.48,1.592,,,12962.655,99.29,99.685
High-income countries,1873,,401293886.0,,665.946,1.676,,,13628.602,99.326,99.667
High-income countries,1874,,405044152.0,,623.875,1.556,,,14252.476,99.238,99.648
High-income countries,1875,,408844548.0,,675.991,1.67,,,14928.467,99.258,99.63
High-income countries,1876,,412695921.0,,685.257,1.677,,,15613.725,99.229,99.613
High-income countries,1877,,416599575.0,,698.451,1.693,,,16312.175,99.207,99.595
High-income countries,1878,,420556426.0,,701.266,1.684,,,17013.441,98.819,99.563
High-income countries,1879,,424570180.0,,751.549,1.787,,,17764.99,98.915,99.535
High-income countries,1880,,428641608.0,,849.098,2.0,,,18614.09,98.936,99.508
High-income countries,1881,,432769115.0,,878.575,2.05,,,19492.664,98.919,99.481
